dms_id,stat,n_finite,n_distinct,frac_tied,ref_mean,T_mean,T_median,T_min,T_max,T_sd,ks_p_rand,ks_D_rand,ks_p_mid,ks_p_cons,within_tol,grid_guard_pass,live,note
CR6261_FluAH1_logKd_3GBN,rate_mad_tau8,200,1,1.0,0.0,,,,,,0.6141231085051724,0.05277328594463426,2.9468237640334056e-47,0.0,False,True,False,reference rate is 0 in >= 1 leave-one-out set (tau beyond the ensemble support)
CR6261_FluAH1_logKd_3GBN,TR1,200,200,0.0,4.065371407872216,1.000079643018455,0.9877987350949013,0.7509854498644585,1.5555242495957244,0.1262448148396544,1.0,0.004943376159711688,1.0,1.0,True,True,True,
CR6261_FluAH1_logKd_3GBN,TR2,200,200,0.0,2.725631893442216,1.0000177383789859,0.9912068729623051,0.8595963518012046,1.2006931836299453,0.0595660710314937,1.0,0.004976823252257567,1.0,1.0,True,True,True,
CR6261_FluAH1_logKd_3GBN,TR1_mad,200,200,0.0,3.337765458674087,1.000015641650583,0.9981805371420749,0.8643572154532684,1.1471574993706635,0.055931422692148805,1.0,0.00497010163296871,1.0,1.0,True,True,True,
CR6261_FluAH1_logKd_3GBN,TR2_mad,200,200,0.0,2.5340732749776107,1.0000071813021156,1.0011233713648209,0.8980569444703452,1.1232947160274651,0.03789836212682767,1.0,0.004971663637992507,1.0,1.0,True,True,True,
CR9114_FluAH1_logKd_4FQI,rate_sigma_tau2,200,200,0.0,0.136951638188905,1.0000043410229784,0.9979088691595741,0.936131599715264,1.0945366110084467,0.02946630221003634,1.0,0.004990160364617635,1.0,1.0,True,True,True,
CR9114_FluAH1_logKd_4FQI,rate_sigma_tau3,200,200,0.0,0.06074177321435705,1.0000079947746965,1.0014567224163269,0.8903359708802486,1.0969392994433294,0.039986386128590894,1.0,0.004983745301349718,1.0,1.0,True,True,True,
CR9114_FluAH1_logKd_4FQI,rate_sigma_tau4,200,199,5e-05,0.03362420029239488,1.0000228366702064,0.9996311632174479,0.7922001687833172,1.1653201263513315,0.06757913083486104,1.0,0.006609123856787968,1.0,1.0,True,True,True,
CR9114_FluAH1_logKd_4FQI,rate_sigma_tau5,200,200,0.0,0.018721759756741566,1.0000820176743113,1.0118067964320387,0.6072723679937206,1.3156921965933221,0.1280562903162997,1.0,0.004989123000088136,1.0,1.0,True,True,True,
CR9114_FluAH1_logKd_4FQI,rate_sigma_tau6,200,200,0.0,0.010652004329457801,1.0002716232290694,0.997122590790064,0.4747274009086522,1.496092263928055,0.23306131765119503,1.0,0.00498571775917836,1.0,1.0,True,True,True,
CR9114_FluAH1_logKd_4FQI,rate_sigma_tau8,200,200,0.0,0.002882980419442287,1.0012741383513517,0.8456214076952753,0.31942818274529383,2.889463029532045,0.5056021074019676,1.0,0.004952839364321067,1.0,1.0,True,True,True,
CR9114_FluAH1_logKd_4FQI,rate_mad_tau2,200,200,0.0,0.13266843060700062,1.0000034321680928,0.9991463580210983,0.9434383082196506,1.0920400064753992,0.02620088324158157,1.0,0.004989005306031413,1.0,1.0,True,True,True,
CR9114_FluAH1_logKd_4FQI,rate_mad_tau3,200,200,0.0,0.04082309572889772,1.0000055019065093,0.9986400643355493,0.9131060293689203,1.0733514288052215,0.03317179237027176,1.0,0.004985007010774867,1.0,1.0,True,True,True,
